server              76030670  
server              75fa44b0  CBasePlayer::LeaveVehicle
server              75fa5cd0  CBasePlayer::PhysicsSimulate
server              75ecd9b0  CBasePlayer::PlayStepSound
server              75fa6870  CBasePlayer::PlayerRunCommand
server              75fa7b80  CBasePlayer::RemoveWearable
server              FAIL      CBasePlayer::SetFOV
server              75fa8860  CBasePlayer::SetModel
server              FAIL      CBasePlayer::SetPlayerName
server              FAIL      CBasePlayer::SetScriptOverlayMaterial
server              FAIL      CBasePlayer::SetVCollisionState
server              75fa9500  CBasePlayer::ShouldTransmit
server              75fa9630  CBasePlayer::ShowViewPortPanel
server              FAIL      CBasePlayer::SnapEyeAngles
server              75fa9720  CBasePlayer::Spawn
server              75faa360  CBasePlayer::Touch
server              FAIL      CBasePlayer::UnforceButtons
server              75faab90  CBasePlayer::UpdateOnRemove
server              75fa6970  CBasePlayer::UpdatePlayerSound
server              75fab6f0  CBasePlayer::WantsLagCompensationOnEntity
server              FAIL      CBasePlayer::Weapon_Equip
server              FAIL      CBasePlayer::Weapon_ShootPosition
server              7666091c  CBasePlayer::m_DataMap
server              75ec8b80  CBaseProjectile::CanCollideWithTeammates
server              FAIL      CBaseProjectile::CollideWithTeammatesThink
server              FAIL      CBaseProjectile::Destroy
server              75ec8b90  CBaseProjectile::GetCollideWithTeammatesDelay
server              75e29170  CBaseProjectile::GetProjectileType
server              FAIL      CBaseProjectile::IsDestroyable
server              75ecf950  CBaseProjectile::SetLauncher
server              75ecfd50  CBaseProjectile::Spawn
server              75ecf610  CBaseProjectile::~CBaseProjectile [D2]
server              76034850  CBaseServerVehicle::GetDriver
server              760349f0  CBaseServerVehicle::GetExitAnimToUse
server              760328c0  CBaseServerVehicle::GetVehicleEnt
server              76035940  CBaseServerVehicle::HandleEntryExitFinish
server              76035b90  CBaseServerVehicle::HandlePassengerEntry
server              76035cb0  CBaseServerVehicle::HandlePassengerExit
server              75e12770  CBaseServerVehicle::IsPassengerUsingStandardWeapons
server              75e12770  CBaseServerVehicle::IsPassengerVisible
server              760362e0  CBaseServerVehicle::ItemPostFrame
server              760388f0  CBaseServerVehicle::SetupMove
server              760f4c20  CBaseTempEntity::Create
server              760f4c80  CBaseTempEntity::GetServerClass
server              76020270  CBaseTrigger::Activate
server              76020910  CBaseTrigger::EndTouch
server              76020630  CBaseTrigger::InputEndTouch
server              76020610  CBaseTrigger::InputStartTouch
server              FAIL      CBaseTrigger::PassesTriggerFilters
server              76020860  CBaseTrigger::StartTouch
server              76676000  CBaseTrigger::m_DataMap
server              FAIL      CBaseViewModel::DestroyControlPanels
server              FAIL      CBaseViewModel::SetControlPanelsActive
server              FAIL      CBaseViewModel::SetWeaponModel
server              FAIL      CBaseViewModel::SpawnControlPanels
server              FAIL      CBeam::BeamCreate
server              FAIL      CBeam::EntsInit
server              FAIL      CBotNPCArcher::CBotNPCArcher
server              FAIL      CBotNPCArcher::D1Thunk
server              FAIL      CBotNPCArcher::GetIntentionInterface
server              FAIL      CBotNPCArcher::Spawn
server              FAIL      CBotNPCArcherIntention::CBotNPCArcherIntention
server              FAIL      CBotNPCArcherIntention::Reset
server              76257c70  CBotNPCBody::AimHeadTowards [CBaseEntity *]
server              76257ce0  CBotNPCBody::AimHeadTowards [Vector]
server              FAIL      CBotNPCBody::CBotNPCBody
server              76257d60  CBotNPCBody::GetSolidMask
server              761dfe70  CBulletPenetrateEnum::EnumEntity
server              76107240  CCaptureFlag::Drop
server              FAIL      CCaptureFlag::FlagTouch
server              FAIL      CCaptureFlag::GetMaxReturnTime
server              FAIL      CCaptureFlag::PickUp
server              76112340  CCaptureZone::Capture
server              76113230  CCaptureZone::ShimTouch
server              FAIL      CCollisionEvent::PostCollision
server              FAIL      CCollisionEvent::ShouldCollide
server              FAIL      CCollisionProperty::GetEntityHandle
server              75eeb020  CCollisionProperty::GetSolid
server              75eb1a50  CCollisionProperty::GetSolidFlags
server              FAIL      CCollisionProperty::MarkPartitionHandleDirty
server              75eeba60  CCollisionProperty::SetCollisionBounds
server              FAIL      CCollisionProperty::SetSolid
server              FAIL      CCollisionProperty::SetSolidFlags
server              FAIL      CCollisionProperty::SetSurroundingBoundsType
server              FAIL      CCurrencyPack::AffectedByRadiusCollection
server              7610b4d0  CCurrencyPack::ComeToRest
server              FAIL      CCurrencyPack::DistributedBy
server              7610b1d0  CCurrencyPack::MyTouch
server              FAIL      CCurrencyPack::SetAmount
server              7610af50  CCurrencyPack::Spawn
server              75fc8f00  CDynamicProp::Spawn
server              FAIL      CEconEntity::DebugDescribe
server              FAIL      CEconEntity::GetAttributeContainer
server              FAIL      CEconEntity::GetAttributeManager
server              FAIL      CEconEntity::GiveTo
server              FAIL      CEconEntity::ReapplyProvision
server              FAIL      CEconEntity::TranslateViewmodelHandActivity
server              FAIL      CEconEntity::TranslateViewmodelHandActivityInternal
server              FAIL      CEconEntity::UpdateBodygroups
server              FAIL      CEconEntity::UpdateModelToClass
server              FAIL      CEconEntity::UpdateOnRemove
server              FAIL      CEconItem::AddDynamicAttributeInternal
server              FAIL      CEconItemAttribute::CEconItemAttribute [C1]
server              FAIL      CEconItemAttribute::GetStaticData
server              7605e840  CEconItemAttributeIterator_ApplyAttributeString::OnIterateAttributeValue
server              7606e150  CEconItemDefinition::BInitFromKV
server              76074fe0  CEconItemDefinition::BInitVisualBlockFromKV
server              FAIL      CEconItemDefinition::GetActivityOverride
server              FAIL      CEconItemDefinition::IterateAttributes
server              7606c310  CEconItemSchema::BInitAttributes
server              76078e30  CEconItemSchema::GetAttributeDefinition
server              76078ea0  CEconItemSchema::GetAttributeDefinitionByName
server              76078ea0  CEconItemSchema::GetAttributeDefinitionByName [non-const]
server              FAIL      CEconItemSchema::GetEquipRegionBitMaskByName
server              76079300  CEconItemSchema::GetItemDefinition
server              FAIL      CEconItemSchema::GetItemDefinitionByName
server              FAIL      CEconItemSchema::GetItemDefinitionByName [clone]
server              FAIL      CEconItemSchema::GetItemDefinitionByName [const]
server              FAIL      CEconItemSchema::ItemTesting_CreateTestDefinition
server              7607e550  CEconItemSchema::Reset
server              76083560  CEconItemView::CEconItemView [C1]
server              FAIL      CEconItemView::GetAnimationSlot
server              7605f620  CEconItemView::GetItemDefIndex
server              76084500  CEconItemView::GetPlayerDisplayModel
server              FAIL      CEconItemView::GetSOCData
server              760846f0  CEconItemView::GetSkin
server              76084830  CEconItemView::GetStaticData
server              76084860  CEconItemView::GetStyle
server              760848f0  CEconItemView::Init
server              76084ba0  CEconItemView::IterateAttributes
server              7667f84c  CEconItemView::m_DataMap
server              FAIL      CEconWearable::GetSkin
server              FAIL      CEconWearable::RemoveFrom
server              FAIL      CEconWearable::UnEquip
server              FAIL      CEntityFactory<CEnvEntityMaker>::Create
server              FAIL      CEntityFactory<CEnvShake>::Create
server              FAIL      CEntityFactory<CEnvViewPunch>::Create
server              FAIL      CEntityFactory<CFuncNavAvoid>::Create
server              FAIL      CEntityFactory<CFuncNavPrefer>::Create
server              FAIL      CEntityFactory<CFuncNavPrerequisite>::Create
server              FAIL      CEntityFactory<CGameText>::Create
server              FAIL      CEntityFactory<CPathTrack>::Create
server              FAIL      CEntityFactory<CPointClientCommand>::Create
server              FAIL      CEntityFactory<CPointEntity>::Create
server              FAIL      CEntityFactory<CPointHurt>::Create
server              FAIL      CEntityFactory<CPointNavInterface>::Create
server              FAIL      CEntityFactory<CPointPopulatorInterface>::Create
server              FAIL      CEntityFactory<CPointServerCommand>::Create
server              FAIL      CEntityFactory<CRagdollMagnet>::Create
server              FAIL      CEntityFactory<CTFBotHint>::Create
server              FAIL      CEntityFactory<CTFBotHintSentrygun>::Create
server              FAIL      CEntityFactory<CTFBotHintTeleporterExit>::Create
server              FAIL      CEntityFactory<CTFForceRespawn>::Create
server              FAIL      CEntityFactory<CTFHudNotify>::Create
server              FAIL      CEntityFactory<CTeamplayRoundWin>::Create
server              FAIL      CEntityFactory<CTrainingAnnotation>::Create
server              FAIL      CEntityFactory<CTriggerHurt>::Create
server              FAIL      CEntityFactory<CTriggerMultiple>::Create
server              FAIL      CEntitySphereQuery::CEntitySphereQuery [C1]
server              FAIL      CEnvEntityMaker::InputForceSpawn
server              FAIL      CEnvEntityMaker::InputForceSpawnAtEntityOrigin
server              FAIL      CEnvEntityMaker::SpawnEntity
server              FAIL      CEnvEntityMaker::m_DataMap
server              FAIL      CEventAction::CEventAction [C2]
server              75ee5330  CEventQueue::AddEvent
server              75ee5210  CEventQueue::AddEvent [CBaseEntity]
server              FAIL      CEventQueue::AddEvent [EventQueuePrioritizedEvent_t *]
server              75ee5510  CEventQueue::CancelEvents
server              75ee6950  CEventQueue::ServiceEvents
server              FAIL      CEyeballBoss::GetLocomotionInterface
server              FAIL      CEyeballBoss::GetVisionInterface
server              762657b0  CEyeballBossApproachTarget::Update
server              FAIL      CEyeballBossDead::Update
server              76267200  CEyeballBossIdle::OnStart
server              FAIL      CEyeballBossIdle::Update
server              76267d70  CEyeballBossLaunchRockets::Update
server              762614d0  CEyeballBossLocomotion::Approach
server              FAIL      CFilterTFBotHasTag::m_DataMap
server              FAIL      CFlagDetectionZone::EntityIsFlagCarrier
server              75ed38e0  CFuncIllusionary::Spawn
server              FAIL      CFuncNavCost::HasTag
server              760b2af0  CFuncNavCost::IsApplicableTo
server              FAIL      CFuncNavCost::IsApplicableTo [clone]
server              FAIL      CFuncNavCost::m_DataMap
server              7668217c  CFuncNavPrerequisite::m_DataMap
server              FAIL      CFuncRotating::InputStartBackward
server              FAIL      CFuncRotating::InputStartForward
server              FAIL      CFuncRotating::InputStop
server              FAIL      CFuncRotating::SetTargetSpeed
server              7663e1d4  CFuncRotating::m_DataMap
server              FAIL      CGameEventManager::CreateEvent
server              FAIL      CGameEventManager::FireEventIntern
server              75f38040  CGameMovement::Accelerate
server              75f34e30  CGameMovement::AirAccelerate
server              75f33fb0  CGameMovement::CheckFalling
server              FAIL      CGameMovement::CheckFalling [clone]
server              75f347a0  CGameMovement::CheckStuck
server              FAIL      CGameMovement::FullNoClipMove
server              FAIL      CGameMovement::GetPointContentsCached
server              FAIL      CGameMovement::GetPointContentsCached [clone]
server              FAIL      CGameMovement::PlayerMove
server              FAIL      CGameMovement::ResetGetPointContentsCache
server              75f3c720  CGameRules::DefaultFOV
server              75f3cac0  CGameRules::GetViewVectors
server              FAIL      CGameRules::IsConnectedUserInfoChangeAllowed
server              75f3de20  CGameRules::ShouldCollide
server              766f3c7c  CGameRulesProxy::s_pGameRulesProxy
server              75f41450  CGameStringPool::LevelShutdownPostEntity
server              75ec1d30  CGameText::KeyValue
server              75f2e3d0  CGameUI::Deactivate
server              FAIL      CGameUI::m_DataMap
server              FAIL      CGlobalEntityList::FindEntityByClassname
server              FAIL      CGlobalEntityList::FindEntityByName
server              FAIL      CGlobalEntityList::NumberOfEntities
server              FAIL      CHLTVDirector::BuildActivePlayerList
server              FAIL      CHalloweenBaseBoss::SpawnBossAtPos
server              FAIL      CHeadlessHatman [D2]
server              FAIL      CHeadlessHatman::OnTakeDamage_Alive
server              FAIL      CHeadlessHatman::Spawn
server              FAIL      CHeadlessHatmanAttack::AttackTarget
server              FAIL      CHeadlessHatmanAttack::RecomputeHomePosition
server              7625b6a0  CHeadlessHatmanLocomotion::GetRunSpeed
server              7625c9d0  CHeadlessHatmanLocomotion::ShouldCollideWith
server              FAIL      CItem::ItemTouch
server              766533a0  CItem::m_DataMap
server              FAIL      CItemGeneration::GenerateItemFromScriptData
server              FAIL      CItemGeneration::GenerateRandomItem
server              FAIL      CItemGeneration::SpawnItem
server              FAIL      CItemGeneration::SpawnItem [defIndex]
server              FAIL      CKickIssue::RequestCallVote
server              760e4e10  CKnownEntity::Destroy
server              760e51c0  CKnownEntity::GetEntity
server              760e5390  CKnownEntity::GetLastKnownArea
server              75eb7b90  CKnownEntity::GetLastKnownPosition
server              760e55f0  CKnownEntity::GetTimeSinceBecameKnown
server              760e5600  CKnownEntity::GetTimeSinceBecameVisible
server              760e5610  CKnownEntity::GetTimeSinceLastKnown
server              760e5620  CKnownEntity::GetTimeSinceLastSeen
server              760e56e0  CKnownEntity::GetTimeWhenBecameVisible
server              760e56f0  CKnownEntity::HasLastKnownPositionBeenSeen
server              760e5820  CKnownEntity::Is
server              760e6210  CKnownEntity::IsObsolete
server              760e6280  CKnownEntity::IsVisibleInFOVNow
server              760e6290  CKnownEntity::IsVisibleRecently
server              760e62d0  CKnownEntity::MarkLastKnownPositionAsSeen
server              760e72c0  CKnownEntity::UpdatePosition
server              760e7400  CKnownEntity::UpdateVisibilityStatus
server              760e7430  CKnownEntity::WasEverVisible
server              760e4b50  CKnownEntity::operator==
server              FAIL      CLagCompensationManager::BacktrackPlayer
server              FAIL      CLagCompensationManager::FinishLagCompensation
server              75fac8c0  CLagCompensationManager::FrameUpdatePostEntityThink
server              75facc30  CLagCompensationManager::StartLagCompensation
server              FAIL      CLaserDot::Create
server              7665465c  CLogicCase::m_DataMap
server              76203a20  CMannVsMachineChangeChallengeIssue::ExecuteCommand
server              FAIL      CMannVsMachineStats::GetBottleSpending
server              FAIL      CMannVsMachineStats::GetBuyBackSpending
server              FAIL      CMannVsMachineStats::GetUpgradeSpending
server              FAIL      CMannVsMachineStats::NotifyTargetPlayerEvent
server              FAIL      CMannVsMachineStats::PlayerEvent_Upgraded
server              FAIL      CMannVsMachineStats::ResetUpgradeSpending
server              762a1000  CMannVsMachineStats::RoundEvent_WaveEnd
server              FAIL      CMannVsMachineStats::SendUpgradesToPlayer
server              762b69f0  CMannVsMachineUpgradeManager::LoadUpgradesFileFromPath
server              76288e40  CMatchInfo::GetNumActiveMatchPlayers
server              7626cd50  CMerasmusLocomotion::GetRunSpeed
server              762adfb0  CMissionPopulator::Parse
server              762af810  CMissionPopulator::Update
server              762b06e0  CMissionPopulator::UpdateMission
server              762b0b60  CMissionPopulator::UpdateMissionDestroySentries
server              762acb00  CMissionPopulator::~CMissionPopulator [D0]
server              762acb00  CMissionPopulator::~CMissionPopulator [D2]
server              76117d60  CMultiPlayerAnimState::AddToGestureSlot
server              FAIL      CMultiPlayerAnimState::OnNewModel
server              76119cb0  CMultiPlayerAnimState::RestartGesture
server              FAIL      CMultiPlayerAnimState::RestartGesture [clone]
server              FAIL      CMultiplayRules::HaveAllPlayersSpeakConceptIfAllowed
server              75f61680  CMultiplayRules::VoiceCommand
server              FAIL      CNavArea::AddToOpenList
server              FAIL      CNavArea::ClearAllNavCostEntities
server              FAIL      CNavArea::ClearSearchLists
server              FAIL      CNavArea::CollectAdjacentAreas
server              7609d660  CNavArea::ComputeAdjacentConnectionHeightChange
server              FAIL      CNavArea::Contains
server              760a1970  CNavArea::DrawFilled
server              760a2810  CNavArea::GetClosestPointOnArea
server              760a3170  CNavArea::GetExtent
server              760a33c0  CNavArea::GetZ [float float]
server              760a36e0  CNavArea::IsBlocked
server              760a3720  CNavArea::IsCompletelyVisible
server              760a4890  CNavArea::IsOverlapping
server              760a4cb0  CNavArea::IsPotentiallyVisible
server              760a4df0  CNavArea::IsPotentiallyVisibleToTeam
server              FAIL      CNavArea::RemoveFromOpenList
server              FAIL      CNavArea::ResetPotentiallyVisibleAreas
server              FAIL      CNavArea::Shift
server              FAIL      CNavArea::m_masterMarker
server              7674d1ec  CNavArea::m_openList
server              7674d1f4  CNavArea::s_nCurrVisTestCounter
server              760b91e0  CNavMesh::BeginGeneration
server              760c8490  CNavMesh::GetGroundHeight
server              FAIL      CNavMesh::GetNavArea [ent]
server              FAIL      CNavMesh::GetNavArea [vec]
server              FAIL      CNavMesh::GetNearestNavArea [ent]
server              760c8de0  CNavMesh::GetNearestNavArea [vec]
server              760b4d10  CNavMesh::Load
server              FAIL      CObjectDispenser::DispenseAmmo
server              FAIL      CObjectDispenser::DispenseMetal
server              FAIL      CObjectDispenser::DispenseThink
server              FAIL      CObjectDispenser::GetAvailableMetal
server              76187630  CObjectDispenser::GetDispenserRadius
server              FAIL      CObjectDispenser::GetHealRate
server              FAIL      CObjectDispenser::SetModel
server              FAIL      CObjectSapper::ApplyRoboSapper
server              FAIL      CObjectSapper::ApplyRoboSapperEffects
server              FAIL      CObjectSapper::ApplyRoboSapperEffects [clone]
server              FAIL      CObjectSapper::GetSapperModelName
server              FAIL      CObjectSapper::GetSapperSoundName
server              FAIL      CObjectSapper::IsParentValid
server              FAIL      CObjectSapper::IsValidRoboSapperTarget
server              FAIL      CObjectSapper::Spawn
server              FAIL      CObjectSapper::UpdateOnRemove
server              7618a2f0  CObjectSentrygun::Attack
server              FAIL      CObjectSentrygun::EmitSentrySound
server              FAIL      CObjectSentrygun::FindTarget
server              FAIL      CObjectSentrygun::FireRocket
server              FAIL      CObjectSentrygun::FirstSpawn
server              FAIL      CObjectSentrygun::FoundTarget
server              FAIL      CObjectSentrygun::GetTurretAngles
server              FAIL      CObjectSentrygun::MakeDisposableBuilding
server              FAIL      CObjectSentrygun::MakeScaledBuilding
server              FAIL      CObjectSentrygun::SentryRotate
server              FAIL      CObjectSentrygun::SentryThink
server              FAIL      CObjectSentrygun::SetModel
server              7618e640  CObjectSentrygun::Spawn
server              FAIL      CObjectSentrygun::StartUpgrading
server              FAIL      CObjectSentrygun::ValidTargetPlayer
server              FAIL      CObjectTeleporter::DeterminePlaybackRate
server              FAIL      CObjectTeleporter::PlayerCanBeTeleported
server              FAIL      CObjectTeleporter::PlayerCanBeTeleported [clone]
server              FAIL      CObjectTeleporter::RecieveTeleportingPlayer
server              76190f60  CObjectTeleporter::SetModel
server              FAIL      CObjectTeleporter::TeleporterSend
server              FAIL      CObjectTeleporter::TeleporterThink
server              FAIL      CObjectTeleporter::TeleporterTouch
server              FAIL      CObjectTeleporter::m_DataMap
server              76659cc8  CParticleSystem::m_DataMap
server              FAIL      CParticleSystemMgr::CParticleSystemMgr
server              FAIL      CParticleSystemMgr::GetParticleSystemCount
server              763a2280  CParticleSystemMgr::Init
server              FAIL      CParticleSystemMgr::UncacheAllParticleSystems
server              FAIL      CParticleSystemMgr::~CParticleSystemMgr
server              FAIL      CPathTrack::GetNext
server              7665ae9c  CPathTrack::m_DataMap
server              75f74cc0  CPhysicsHook::FindOrAddVehicleScript
server              FAIL      CPlayerInventory::DumpInventoryToConsole
server              76064ff0  CPlayerInventory::GetInventoryItemByItemID
server              FAIL      CPlayerInventory::GetItemByPosition
server              FAIL      CPlayerInventory::GetMaxItemCount
server              75fac590  CPlayerMove::SetupMove
server              75fac880  CPlayerMove::StartCommand
server              FAIL      CPointPopulatorInterface::InputChangeBotAttributes
server              FAIL      CPointPush::PushThink
server              75fbb380  CPointTeleport::Activate
server              FAIL      CPopulationManager::AddRespecToPlayer
server              FAIL      CPopulationManager::AdjustMinPlayerSpawnTime
server              762a2ec0  CPopulationManager::AllocateBots
server              FAIL      CPopulationManager::CPopulationManager [C1]
server              762a30b0  CPopulationManager::ClearCheckpoint
server              FAIL      CPopulationManager::CollectMvMBots
server              FAIL      CPopulationManager::CycleMission
server              FAIL      CPopulationManager::FindCheckpointSnapshot [CTFPlayer *]
server              762a3e50  CPopulationManager::FindDefaultPopulationFileShortNames
server              FAIL      CPopulationManager::FindOrAddPlayerUpgradeHistory
server              FAIL      CPopulationManager::FindOrAddPlayerUpgradeHistory [CTFPlayer *]
server              762a4220  CPopulationManager::FindPopulationFileByShortName
server              FAIL      CPopulationManager::GetCurrentWave
server              762a4720  CPopulationManager::GetNumRespecsAvailableForPlayer
server              762a47b0  CPopulationManager::GetPlayerCurrencySpent
server              FAIL      CPopulationManager::GetPlayerUpgradeHistory
server              762a48b0  CPopulationManager::GetPopulationFilename
server              FAIL      CPopulationManager::Initialize
server              FAIL      CPopulationManager::Initialize [clone]
server              FAIL      CPopulationManager::IsInEndlessWaves
server              762a4fa0  CPopulationManager::IsValidPopfile
server              762a50b0  CPopulationManager::JumpToWave
server              FAIL      CPopulationManager::LoadMvMMission
server              FAIL      CPopulationManager::OnCurrencyCollected
server              762a5c40  CPopulationManager::Parse
server              762a62a0  CPopulationManager::PauseSpawning
server              762a4bf0  CPopulationManager::PostInitialize
server              FAIL      CPopulationManager::RemovePlayerAndItemUpgradesFromHistory
server              FAIL      CPopulationManager::RemoveRespecFromPlayer
server              FAIL      CPopulationManager::ResetMap
server              FAIL      CPopulationManager::ResetRespecPoints
server              762a6b30  CPopulationManager::RestoreCheckpoint
server              FAIL      CPopulationManager::RestorePlayerCurrency
server              762a70f0  CPopulationManager::SetCheckpoint
server              FAIL      CPopulationManager::SetNumRespecsForPlayer
server              762a7450  CPopulationManager::SetPopulationFilename
server              762a7500  CPopulationManager::Spawn
server              FAIL      CPopulationManager::StartCurrentWave
server              762a7610  CPopulationManager::UnpauseSpawning
server              762a7650  CPopulationManager::Update
server              FAIL      CPopulationManager::UpdateObjectiveResource
server              FAIL      CPopulationManager::WaveEnd
server              FAIL      CPopulationManager::~CPopulationManager [D0]
server              FAIL      CPopulationManager::~CPopulationManager [D2]
server              76677f60  CPropVehicle::m_DataMap
server              FAIL      CPropVehicleDriveable::CanExitVehicle
server              FAIL      CPropVehicleDriveable::DriveVehicle
server              FAIL      CPropVehicleDriveable::PassengerShouldReceiveDamage
server              760333e0  CPropVehicleDriveable::Spawn
server              FAIL      CPropVehicleDriveable::TraceAttack
server              FAIL      CPropVehicleDriveable::Use
server              76677f78  CPropVehicleDriveable::m_DataMap
server              7611cd00  CQuestItemTracker::FireGameEvent
server              FAIL      CQuestItemTracker::FireGameEvent_NonVirtual
server              762a8920  CRandomChoiceSpawner::GetClass
server              762a8a30  CRandomChoiceSpawner::GetClassIcon
server              762a8bb0  CRandomChoiceSpawner::GetHealth
server              762a8cd0  CRandomChoiceSpawner::HasAttribute
server              762a8ef0  CRandomChoiceSpawner::IsMiniBoss
server              762a9250  CRandomChoiceSpawner::Parse
server              FAIL      CRecipientFilter::IgnorePredictionCull
server              FAIL      CRecipientFilter::RemoveRecipientsByPVS
server              FAIL      CSceneEntity::m_pcvSndMixahead
server              7606af30  CSchemaAttributeType_Default::ConvertStringToEconAttributeValue
server              7606b050  CSchemaAttributeType_String::BConvertStringToEconAttributeValue
server              FAIL      CSchemaFieldHandle<CEconItemDefinition>::CSchemaFieldHandle
server              FAIL      CSchemaFieldHandle<CEconItemDefinition>::CSchemaFieldHandle2
server              75f2eb30  CServerGameClients::ClientActive
server              75f2edf0  CServerGameClients::ClientPutInServer
server              76131270  CServerGameClients::GetPlayerLimits
server              75f30b90  CServerGameDLL::GetServerBrowserMapOverride
server              75f2fca0  CServerGameDLL::LevelInit
server              75f2ff70  CServerGameDLL::ServerActivate
server              75f30a50  CServerGameDLL::SetServerHibernation
server              75f2fa70  CServerGameDLL::Shutdown
server              75f31020  CServerGameEnts::CheckTransmit
server              FAIL      CServerNetworkProperty::AreaNum
server              75fe9330  CServerNetworkProperty::AttachEdict
server              FAIL      CServerNetworkProperty::GetBaseEntity
server              FAIL      CServerNetworkProperty::GetBaseNetworkable
server              FAIL      CServerNetworkProperty::GetClassName
server              FAIL      CServerNetworkProperty::GetEdict
server              FAIL      CServerNetworkProperty::GetEntityHandle
server              FAIL      CServerNetworkProperty::GetPVSInfo
server              FAIL      CServerNetworkProperty::GetServerClass
server              FAIL      CServerNetworkProperty::IsInPVS
server              FAIL      CSingleUserRecipientFilter::CSingleUserRecipientFilter
server              760f7b50  CSmokeStack::KeyValue
server              7668353c  CSmokeStack::m_DataMap
server              FAIL      CSniperDot::Create
server              75ff0200  CSoundEnt::Initialize
server              FAIL      CSpawnLocation::FindSpawnLocation
server              762ae470  CSpawnLocation::Parse
server              76275f80  CSpellPickup::ItemCanBeTouchedByPlayer
server              FAIL      CSpellPickup::m_DataMap
server              FAIL      CSprite::SpriteCreate
server              762a8ae0  CSquadSpawner::GetClassIcon
server              762a8d80  CSquadSpawner::HasAttribute
server              762a8fa0  CSquadSpawner::IsMiniBoss
server              762a9400  CSquadSpawner::Parse
server              762ab140  CSquadSpawner::Spawn
server              762a8750  CSquadSpawner::~CSquadSpawner [D0]
server              762a8750  CSquadSpawner::~CSquadSpawner [D2]
server              75ff6450  CSteamID::Render [member]
server              FAIL      CSteamID::Render [static]
server              75ff7680  CStudioHdr::GetNumPoseParameters
server              75ff8970  CStudioHdr::pPoseParameter
server              FAIL      CTFAmmoPack::Create
server              FAIL      CTFAmmoPack::InitAmmoPack
server              FAIL      CTFBall_Ornament::Create
server              762c0590  CTFBall_Ornament::Explode
server              762c0980  CTFBall_Ornament::PipebombTouch
server              FAIL      CTFBaseBoss::GetCurrencyValue
server              FAIL      CTFBaseBoss::OnTakeDamage
server              FAIL      CTFBaseBoss::ResolvePlayerCollision
server              FAIL      CTFBaseBoss::Touch
server              FAIL      CTFBaseBoss::UpdateCollisionBounds
server              7629e0a0  CTFBaseBossLocomotion::FaceTowards
server              761e2cf0  CTFBaseBossLocomotion::GetStepHeight
server              FAIL      CTFBaseProjectile::FlyThink
server              FAIL      CTFBaseProjectile::GetDamage
server              FAIL      CTFBaseProjectile::GetDamageType
server              FAIL      CTFBaseProjectile::PhysicsSolidMaskForEntity
server              FAIL      CTFBaseProjectile::SetDamage
server              FAIL      CTFBaseProjectile::SetScorer
server              FAIL      CTFBaseProjectile::Spawn
server              762ff2a0  CTFBaseRocket::CheckForStunOnImpact
server              FAIL      CTFBaseRocket::Create
server              762f95c0  CTFBaseRocket::Destroy
server              762ff6d0  CTFBaseRocket::Explode
server              FAIL      CTFBaseRocket::GetOwnerPlayer
server              762ffcc0  CTFBaseRocket::GetRadius
server              762e6420  CTFBaseRocket::GetWeaponID
server              762fff30  CTFBaseRocket::RocketTouch
server              7618e3a0  CTFBaseRocket::SetDamage
server              FAIL      CTFBat_Giftwrap::GetWeaponID
server              762bf540  CTFBat_Wood::SecondaryAttack
server              FAIL      CTFBonesaw::GetWeaponID
server              7620f010  CTFBot::AddEventChangeAttributes
server              7620f100  CTFBot::AddItem
server              FAIL      CTFBot::AvoidPlayers
server              FAIL      CTFBot::CTFBotIntention::Update
server              762105f0  CTFBot::ChangeTeam
server              FAIL      CTFBot::ClearTags
server              FAIL      CTFBot::DelayedThreatNotice
server              76210c10  CTFBot::DrawDebugTextOverlays
server              FAIL      CTFBot::EquipBestWeaponForThreat
server              FAIL      CTFBot::EquipLongRangeWeapon
server              FAIL      CTFBot::EquipRequiredWeapon
server              76211400  CTFBot::Event_Killed
server              FAIL      CTFBot::ForgetSpy
server              FAIL      CTFBot::GetBodyInterface
server              FAIL      CTFBot::GetBotType
server              FAIL      CTFBot::GetDesiredAttackRange
server              76212080  CTFBot::GetDesiredPathLookAheadRange
server              762120a0  CTFBot::GetEventChangeAttributes
server              FAIL      CTFBot::GetFlagCaptureZone
server              FAIL      CTFBot::GetFlagToFetch
server              FAIL      CTFBot::GetIntentionInterface
server              FAIL      CTFBot::GetLastKnownArea
server              FAIL      CTFBot::GetLocomotionInterface
server              FAIL      CTFBot::GetNearestKnownSappableTarget
server              76212ef0  CTFBot::GetNextSpawnClassname
server              FAIL      CTFBot::GetTimeLeftToCapture
server              FAIL      CTFBot::GetVisionInterface
server              76213ae0  CTFBot::HasTag
server              FAIL      CTFBot::IsBarrageAndReloadWeapon
server              FAIL      CTFBot::IsDormantWhenDead
server              FAIL      CTFBot::IsExplosiveProjectileWeapon
server              FAIL      CTFBot::IsKnownSpy
server              FAIL      CTFBot::IsLineOfFireClear_ent
server              FAIL      CTFBot::IsLineOfFireClear_vec
server              FAIL      CTFBot::IsLineOfFireClear_vec_ent
server              FAIL      CTFBot::IsLineOfFireClear_vec_vec
server              FAIL      CTFBot::IsSuspectedSpy
server              FAIL      CTFBot::LeaveSquad
server              7621a8a0  CTFBot::OnEventChangeAttributes
server              FAIL      CTFBot::OnWeaponFired
server              FAIL      CTFBot::OpportunisticallyUseWeaponAbilities
